5.0,0.005061196002353771,0.049906922447243915,0.03775623930762409
10.0,3.6011618852383345e-5,0.0007808771621766503,0.0011733764195460627
15.0,2.3517011110800427e-6,0.0005828106548273616,0.0001474835727026978
20.0,2.0550030246204078e-6,0.0016761681922240735,0.00029536857801197553
25.0,4.904065627104713e-7,0.0007357230283441287,9.057250623199198e-5
30.0,9.091708558860872e-8,0.0002261090257907815,2.0629685549306517e-5
35.0,1.9360197238452198e-8,6.848056225434682e-5,5.179405854379792e-6
40.0,3.1942365587004044e-9,1.4112891564600232e-5,8.860017776645736e-7
45.0,5.240654712294445e-10,2.8291573720177702e-6,1.530298633125829e-7
50.0,1.4749805467886833e-10,8.286408121277161e-7,4.136281766869343e-8
55.0,2.575626032963753e-11,1.5032705961386322e-7,6.6650294336766245e-9
60.0,5.197861125421663e-12,3.742292006936436e-8,1.5187153555638164e-9
65.0,1.2592741425462576e-12,7.244295572549886e-9,2.652020632508774e-10
70.0,3.0430254842504416e-13,1.5624331622575715e-9,4.908823490650807e-11
75.0,7.837460746844174e-14,4.156732130550804e-10,1.9974899879113684e-11
80.0,2.0710675044050948e-14,6.615367381031494e-11,8.332693922448548e-11
85.0,1.3093491472208609e-14,1.3510204886697966e-11,1.4702493378733212e-11
90.0,2.0879533517356887e-14,3.758901059504367e-11,5.328543214295689e-11
