5.0,0.001540992813320227,0.003117050054781049,0.0016978373899954337
10.0,3.019255929482808e-5,0.00012204173291029729,0.0005646591119782328
15.0,6.295902882525318e-6,0.00034119486834087215,0.00016489143400500236
20.0,1.3803684396001382e-6,0.00017544116805332297,3.733151968003517e-5
25.0,4.6703976529425424e-7,1.5968031697548815e-5,1.8214480580084363e-6
30.0,1.0711150940660028e-7,2.0800451281380718e-5,3.279478975612834e-6
35.0,4.7080547372303897e-8,6.6201240731308496e-6,9.938406249900815e-7
40.0,9.449078824680951e-9,1.152423029796143e-6,4.036856124068823e-7
45.0,3.318634024183072e-9,1.3470204531292862e-6,1.672550551152979e-7
50.0,1.2484581970503423e-9,3.044457566381654e-7,2.4008954711214323e-8
55.0,9.213378542106399e-11,1.1253534312161283e-7,1.397496489100673e-8
60.0,2.6009566792983044e-10,1.3002298990629843e-7,1.5681996775791008e-8
65.0,6.73395342157512e-11,1.9938044157589e-8,1.0488805322622355e-9
70.0,2.9639939024662155e-11,1.5116438249242424e-8,2.1220199538523336e-9
75.0,1.0687865461587428e-11,1.0756287084321492e-8,1.0711446461689805e-9
80.0,1.1045971341873436e-11,6.569748161745264e-9,5.388352431648354e-10
85.0,7.525371949379496e-13,6.199847569090884e-10,1.3817201780757066e-10
90.0,3.870272743332201e-13,4.660371965825456e-10,3.480675743317659e-11
